course_id,name,credit,detail
080203901,มนุษย์กับสังคม,3,
080203902,มรดกและอารยธรรมของชาติ,3,
080203903,มิติทางสังคม เศรษฐกิจ และการเมือง,3,
080203904,กฎหมายในชีวิตประจำวัน,3,
080203905,เศรษฐกิจกับชีวิตประจำวัน,3,
080203906,เศรษฐศาสตร์เพื่อการพัฒนาชีวิต,3,
080203907,ธุรกิจกับชีวิตประจำวัน,3,
080303103,จิตวิทยาเพื่อความสุขในการดำรงชีวิต,3,
080303301,ศิลปสุนทรีย์,3,
080303601,มนุษยสัมพันธ์,3,
080303609,สุขภาพเพื่อชีวิต,3,
080103001,ภาษาอังกฤษ 1,3,
080103002,ภาษาอังกฤษ 2,3,
080103011,ทักษะการเรียนภาษาอังกฤษ,3,
080103016,การสนทนาภาษาอังกฤษ 1,3,
080103017,การสนทนาภาษาอังกฤษ 2,3,
080103018,ภาษาอังกฤษเพื่อการทำงาน,3,
080303501,บาสเกตบอล,1,
080303502,วอลเลย์บอล,1,
080303503,แบดมินตัน,1,
080303504,ลีลาศ,1,
080303505,เทเบิลเทนนิส,1,
080303506,เทควันโด,1,
080303507,ฟุตบอล,1,
080303508,เซปักตะกร้อ,1,
080303509,เปตอง,1,
080303510,ไท้จี๋/ไท้เก๊ก,1,
040203100,คณิตศาสตร์ทั่วไป,3,
040413001,ชีววิทยาในชีวิตประจำวัน,3,
040423001,สิ่งแวดล้อมและพลังงาน,3,
040433001,อาหาร สุขภาพและคุณภาพชีวิต,3,
040433002,อาหารในชีวิตประจำวัน,3,
040503001,สถิติในชีวิตประจำวัน,3,
010113010,ทฤษฎีวงจรไฟฟ้า,3,
010113011,ปฏิบัติการวงจรไฟฟ้า,1,
010113941,โครงงาน 1,3,
010113942,โครงงาน 2,3,
010123124,สัมมนาวิศวกรรมคอมพิวเตอร์,2,
010123130,การสำรวจองค์ความรู้วิศวกรรมคอมพิวเตอร์,1,
010123131,การฝึกพัฒนาซอฟต์แวร์ 1,3,
010123132,การฝึกพัฒนาซอฟต์แวร์ 2,3,
010403005,วิชาชีพวิศวกรรมเบื้องต้น,1,
010403006,จรรยาบรรณในการประกอบวิชาชีพ,1,
040203111,คณิตศาสตร์วิศวกรรม 1,3,
040203112,คณิตศาสตร์วิศวกรรม 2,3,
040313005,ฟิสิกส์ 1,3,
040313006,ปฏิบัติการฟิสิกส์ 1,1,
040313007,ฟิสิกส์ 2,3,
040313008,ปฏิบัติการฟิสิกส์ 2,1,
010123102,พื้นฐานการเขียนโปรแกรม,3,
010123103,ขั้นตอนวิธีและโครงสร้างข้อมูล,3,
010123105,สถิติสำหรับวิศวกรคอมพิวเตอร์,3,
010123106,สัญญาณและระบบเบื้องต้น,3,
010123107,การออกแบบลอจิกของระบบดิจิทัล,3,
010123108,ปฏิบัติการออกแบบระบบดิจิทัล,1,
010123114,แอนะล็อกและดิจิทัลอิเล็กทรอนิกส์,3,
010123115,ปฏิบัติการแอนะล็อกและดิจิทัลอิเล็กทรอนิกส์,1,
010123116,วิศวกรรมซอฟต์แวร์,3,
010123117,ระบบปฏิบัติการ,3,
010123119,การออกแบบระบบฝังตัว,3,
010123120,ปฏิบัติการออกแบบระบบฝังตัว,1,
010123121,ระบบฐานข้อมูล,3,
010123126,เครือข่ายคอมพิวเตอร์ 1,3,
010123127,เครือข่ายคอมพิวเตอร์ 2,3,
010123128,ปฏิบัติการเครือข่ายคอมพิวเตอร์,1,
010123129,คอมพิวเตอร์ทุกหนทุกแห่ง,3,
010123133,วิยุตคณิต,3,
010123134,โครงสร้างและการจัดการภายในของระบบคอมพิวเตอร์,3,
010123201,วิธีเชิงตัวเลขสำหรับวิศวกรคอมพิวเตอร์,3,
010123203,การวิเคราะห์และการออกแบบขั้นตอนวิธี,3,
010123204,พื้นฐานวิศวกรรมควบคุม,3,
010123205,ความปลอดภัยของระบบคอมพิวเตอร์และเครือข่าย,3,
010123206,การสื่อสารดิจิทัลและการประมวลสัญญาณ,3,
010123208,พื้นฐานภาษาคอมพิวเตอร์และตัวแปลโปรแกรม,3,
010123210,การประมวลภาพและการมองเห็นของเครื่อง,3,
010123211,การจำลองและแบบจำลอง,3,
010123212,การคำนวณแบบขนานและแบบกระจาย,3,
010123213,ปัญญาประดิษฐ์,3,
010123214,การสืบเสาะความรู้และการทำเหมืองข้อมูล,3,
010123215,ชีวสนเทศศาสตร์เบื้องต้น,3,
010123217,เรื่องคัดเฉพาะทางวิศวกรรมคอมพิวเตอร์ 1,3,
010123218,เรื่องคัดเฉพาะทางวิศวกรรมคอมพิวเตอร์ 2,3,
010123219,เรื่องคัดเฉพาะทางวิศวกรรมคอมพิวเตอร์ 3,3,
010123220,เครือข่ายไร้สาย,3,
010123221,การทดสอบและประกันคุณภาพซอฟต์แวร์,3,
010123222,ปฏิสัมพันธ์ระหว่างคอมพิวเตอร์กับมนุษย์,3,
010123223,เว็บเซอร์วิสและสถาปัตยกรรมบริการ,3,
010123224,ระบบปฏิบัติการเวลาจริง,3,
010123225,การออกแบบระดับสูงของระบบดิจิทัล,3,
