year,semester,course_id,grade
2016,1,010013001,A
2016,1,010123102,A
2016,1,010123130,A
2016,1,040203111,B+
2016,1,040313005,A
2016,1,040313006,A
2016,1,080103001,B+
2016,1,080203901,B+
2016,1,080303505,A
2016,2,010113010,C+
2016,2,010113011,A
2016,2,010123103,A
2016,2,010403006,A
2016,2,040203112,B+
2016,2,040313007,A
2016,2,040313008,A
2016,2,080103002,B+
2016,2,080303501,B+
2017,1,010123105,B+
2017,1,010123106,A
2017,1,010123107,A
2017,1,010123108,A
2017,1,010123131,A
2017,1,010123133,A
2017,1,040313016,A
2017,2,010123114,A
2017,2,010123126,B+
2017,2,010123129,B+
2017,2,010123132,A
2017,2,010123134,A
2017,2,040203100,A
2018,1,010123115,A
2018,1,010123116,A
2018,1,010123117,A
2018,1,010123119,A
2018,1,010123127,A
2018,1,040313017,A
2018,1,080103034,A
