course_id,year,semester,grade
010013001,2016,1,B
010123102,2016,1,A
010123130,2016,1,A
040203111,2016,1,B
040313005,2016,1,B
040313006,2016,1,A
080103001,2016,1,B+
080203901,2016,1,B+
080303505,2016,1,A
010113010,2016,2,B
010113011,2016,2,B+
010123103,2016,2,A
010403006,2016,2,A
040203112,2016,2,B+
040313007,2016,2,B
040313008,2016,2,A
080103002,2016,2,B+
080303501,2016,2,A
010123105,2017,1,B
010123106,2017,1,C
010123107,2017,1,D+
010123108,2017,1,A
010123131,2017,1,A
010123133,2017,1,C
040503001,2017,1,B+
080303606,2017,1,B+
010123114,2017,2,B+
010123126,2017,2,A
010123129,2017,2,A
010123132,2017,2,A
010123134,2017,2,A
040003003,2017,2,A
040203100,2017,2,A
010123115,2018,1,C+
010123116,2018,1,A
010123117,2018,1,A
010123119,2018,1,A
010123127,2018,1,A
010123801,2018,1,A
080103034,2018,1,B+
080303103,2018,1,B+
