course_id,grade,year,semester
010013001,C+,2016,1
010123102,A,2016,1
010123130,A,2016,1
040203111,C,2016,1
040313005,C+,2016,1
040313006,A,2016,1
080103001,A,2016,1
080203901,B+,2016,1
080303505,A,2016,1
010113010,C,2016,2
010113011,C+,2016,2
010123103,A,2016,2
010403006,A,2016,2
040203112,C+,2016,2
040313007,B,2016,2
040313008,A,2016,2
080103002,A,2016,2
080303501,B+,2016,2
010123105,C,2017,1
010123106,D,2017,1
010123107,F,2017,1
010123108,A,2017,1
010123131,B+,2017,1
010123133,F,2017,1
040503001,B,2017,1
080303606,B,2017,1
010123114,C,2017,2
010123126,A,2017,2
010123129,A,2017,2
010123132,A,2017,2
040003003,A,2017,2
040203100,A,2017,2
080103016,A,2017,2
010123107,C+,2018,1
010123115,C+,2018,1
010123116,A,2018,1
010123117,A,2018,1
010123127,A,2018,1
010123133,B,2018,1
010123801,A,2018,1
080303103,B+,2018,1
